Hinf,Tw,eta,H,F,G,T
-0.6,1.0467646983143863,0.0,0.0,0.0,0.0,1.0467646983143863
-0.6,1.0467646983143863,0.05,-0.0011659944574980345,0.022934702317573406,0.02938492228324575,1.0460567679782002
-0.6,1.0467646983143863,0.1,-0.004512264539282927,0.04362897342102749,0.05865800409430263,1.045348871985807
-0.6,1.0467646983143863,0.15000000000000002,-0.009821727508379851,0.06222123471751743,0.08772022164035008,1.0446410951412428
-0.6,1.0467646983143863,0.2,-0.016890903465369443,0.078845089031797,0.11648538891928009,1.043933572238657
-0.6,1.0467646983143863,0.25,-0.025529424635625457,0.09362915257542706,0.1448789872382907,1.043226482747893
-0.6,1.0467646983143863,0.30000000000000004,-0.03555953040267888,0.10669693604297255,0.1728370842453915,1.0425200457452997
-0.6,1.0467646983143863,0.35000000000000003,-0.04681555264503343,0.118166769514719,0.200305335827966,1.04181451506906
-0.6,1.0467646983143863,0.4,-0.05914339555307212,0.12815176623566812,0.2272380649093658,1.0411101746858933
-0.6,1.0467646983143863,0.45,-0.07240001358933529,0.13675982071601422,0.2535974117392375,1.0404073342618958
-0.6,1.0467646983143863,0.5,-0.0864528907954802,0.1440936369566163,0.2793525507481558,1.0397063249347371
-0.6,1.0467646983143863,0.55,-0.10117952425974551,0.15025078294285169,0.304478969439774,1.0390074952875763
-0.6,1.0467646983143863,0.6000000000000001,-0.11646691419813376,0.15532376787118335,0.3289578051384592,1.0383112075272467
-0.6,1.0467646983143863,0.65,-0.13221106276187625,0.15940013887468543,0.3527752357085012,1.0376178338704762
-0.6,1.0467646983143863,0.7000000000000001,-0.14831648337023046,0.1625625942970131,0.37592192062170215,1.0369277531424517
-0.6,1.0467646983143863,0.75,-0.16469572208477382,0.16488911082941987,0.3983924889808675,1.0362413475919445
-0.6,1.0467646983143863,0.8,-0.1812688922865926,0.16645308207310547,0.4201850713131648,1.0355589999266765
-0.6,1.0467646983143863,0.8500000000000001,-0.19796322368720307,0.16732346632022477,0.4413008721343912,1.0348810905717025
-0.6,1.0467646983143863,0.9,-0.21471262649472506,0.16756494156211219,0.46174378045646564,1.0342079951524104
-0.6,1.0467646983143863,0.9500000000000001,-0.23145727136743421,0.1672380659335118,0.48152001556900276,1.0335400822024128
-0.6,1.0467646983143863,1.0,-0.24814318561651402,0.1663994419876733,0.5006378055739575,1.032877711095153
-0.6,1.0467646983143863,1.05,-0.2647218659676908,0.16510188336985043,0.5191070962918064,1.0322212301965874
-0.6,1.0467646983143863,1.1,-0.2811499080563093,0.16339458261678794,0.5369392882900098,1.0315709752348552
-0.6,1.0467646983143863,1.1500000000000001,-0.2973886527108891,0.16132327895790843,0.5541469999106124,1.0309272678814414
-0.6,1.0467646983143863,1.2000000000000002,-0.3134038489749204,0.15893042513078362,0.5707438542945529,1.0302904145370928
-0.6,1.0467646983143863,1.25,-0.3291653337244553,0.15625535234971538,0.5867442885161657,1.0296607053145312
-0.6,1.0467646983143863,1.3,-0.3446467276587937,0.15333443268247268,0.6021633830528579,1.0290384132090449
-0.6,1.0467646983143863,1.35,-0.35982514737241084,0.15020123819696254,0.6170167099222762,1.0284237934471405
-0.6,1.0467646983143863,1.4000000000000001,-0.3746809331573081,0.14688669633739698,0.6313201979226684,1.0278170830027589
-0.6,1.0467646983143863,1.4500000000000002,-0.3891973921353878,0.14341924107885862,0.6450900135116137,1.0272185002700314
-0.6,1.0467646983143863,1.5,-0.40336055627947665,0.13982495949051613,0.6583424559539742,1.0266282448811503
-0.6,1.0467646983143863,1.55,-0.41715895484841164,0.13612773341158663,0.6710938654617521,1.0260464976577368
-0.6,1.0467646983143863,1.6,-0.43058340073545803,0.1323493760108911,0.6833605431365498,1.0254734206839935
-0.6,1.0467646983143863,1.6500000000000001,-0.443626790209508,0.1285097630609426,0.6951586816095248,1.0249091574899818
-0.6,1.0467646983143863,1.7000000000000002,-0.456283915514364,0.12462695881135646,0.7065043053540441,1.0243538333335431
